clip,naive,lr,avg_reward
True,False,0.9596,-990667.0
True,False,0.9596,-988689.0
True,True,0.9697,-983844.0
True,True,0.9798,-991146.5
False,False,0.9596,-972339.5
True,True,0.9697,-995583.0
True,True,0.9596,-997051.0
True,True,1.0,-985366.0
True,True,0.9596,-986847.0
False,False,0.9697,-995821.0
False,False,0.9798,-993354.5
True,False,0.9697,-992996.5
False,False,0.9697,-992209.0
False,False,0.9596,-996560.0
False,False,0.9596,-979742.5
False,False,1.0,-994716.5
True,False,0.9798,-986960.5
True,False,0.9899,-984894.0
True,True,0.9697,-983524.0
True,False,0.9798,-995201.5
True,False,0.9697,-987221.5
True,False,0.9697,-992012.5
True,True,0.9798,-990159.5
True,True,0.9899,-994349.0
False,False,0.9697,-983152.5
True,True,0.9798,-985995.0
True,True,0.9697,-992129.5
True,True,0.9697,-993360.5
False,False,0.9798,-991525.0
False,False,0.9899,-987456.0
True,False,0.9798,-978242.5
False,False,0.9798,-990406.5
False,False,0.9697,-991191.5
False,False,0.9697,-988332.0
True,False,0.9899,-943439.5
True,False,1.0,-994473.5
True,True,0.9798,-990175.0
True,False,0.9899,-987464.0
True,False,0.9798,-993602.5
True,False,0.9798,-974300.0
True,True,0.9899,-993607.0
True,True,1.0,-977864.0
False,False,0.9798,-992906.0
True,True,0.9899,-977615.5
True,True,0.9798,-993354.5
True,True,0.9798,-991641.5
False,False,0.9899,-986632.0
False,False,1.0,-983151.0
True,False,0.9899,-990285.0
False,False,0.9899,-990408.0
False,False,0.9798,-990522.5
False,False,0.9798,-992866.5
True,False,1.0,-986848.5
